question_id,subject,bloom_level,question_text,question_length,mean_score,std_dev,pass_rate,discrimination_index,difficulty_label
Q3950,Computer Science,Remember,List the types of database normalization.,6,55.39,9.82,0.68,0.43,Easy
Q3951,Computer Science,Evaluate,Justify the use of neural networks in large-scale systems.,9,45.7,17.31,0.6,0.54,Medium
Q3952,Computer Science,Remember,What is TCP/IP protocol in computer science?,7,94.01,7.01,0.82,0.16,Easy
Q3953,Mathematics,Analyze,Compare and contrast differential equations with number theory.,8,59.16,16.29,0.61,0.43,Medium
Q3954,Physics,Create,Design an experiment to measure wave motion accurately.,8,25.1,20.32,0.37,0.72,Hard
Q3955,Computer Science,Understand,Illustrate the concept of recursion using a diagram.,8,55.64,14.67,0.46,0.4,Medium
Q3956,Physics,Analyze,Analyze how gravitational force changes under different conditions.,8,38.38,19.04,0.21,0.49,Medium
Q3957,Biology,Create,Design an experiment to test the effect of temperature on photosynthesis.,11,94.43,5.06,0.79,0.27,Medium
Q3958,Physics,Apply,Determine the value of electromagnetism using the data provided.,9,48.78,11.43,0.6,0.49,Medium
Q3959,Mathematics,Understand,Interpret the graph representing trigonometry.,5,72.85,8.55,0.77,0.11,Easy
Q3960,Mathematics,Analyze,Compare and contrast matrices with differential equations.,7,58.07,9.19,0.68,0.51,Medium
Q3961,Biology,Analyze,Differentiate between photosynthesis and mitosis.,5,86.2,3.12,0.82,0.27,Easy
Q3962,Mathematics,Apply,Apply calculus to determine the missing variable.,7,52.52,17.49,0.62,0.33,Medium
Q3963,Mathematics,Create,Formulate a new equation using the principles of graph theory.,10,60.17,11.08,0.52,0.41,Medium
Q3964,Computer Science,Create,Construct a database schema using principles of recursion.,8,59.06,12.03,0.6,0.52,Medium
Q3965,Mathematics,Analyze,Break down the steps involved in solving probability.,8,88.24,4.65,0.77,0.29,Easy
Q3966,Physics,Create,Develop a theoretical model incorporating electric circuits.,7,64.59,14.31,0.66,0.4,Medium
Q3967,Mathematics,Create,Formulate a new equation using the principles of graph theory.,10,78.92,7.14,0.98,0.24,Medium
Q3968,Biology,Analyze,Analyze the relationship between genetic mutation and cellular respiration.,9,66.05,9.04,0.45,0.44,Medium
Q3969,Biology,Understand,Illustrate the cycle of osmosis with a diagram.,8,90.62,9.67,0.87,0.13,Easy
Q3970,Mathematics,Understand,Describe how graph theory works in real-world scenarios.,8,25.75,17.52,0.2,0.66,Medium
Q3971,Physics,Remember,What is the SI unit of nuclear fission?,8,76.31,4.83,0.85,0.35,Easy
Q3972,Mathematics,Understand,Interpret the graph representing differential equations.,6,25.48,11.3,0.25,0.66,Medium
Q3973,Computer Science,Evaluate,Justify the use of recursion in large-scale systems.,8,57.45,15.46,0.63,0.38,Medium
Q3974,Mathematics,Create,Construct a proof for linear algebra.,6,57.64,15.84,0.49,0.53,Medium
Q3975,Biology,Remember,What is enzyme activity?,4,20.92,13.33,0.23,0.78,Medium
Q3976,Biology,Remember,Define osmosis in biological terms.,5,28.32,20.18,0.19,0.49,Medium
Q3977,Physics,Apply,Use the concept of gravitational force to explain the given experiment.,11,57.51,14.33,0.63,0.5,Medium
Q3978,Mathematics,Create,Develop a solution strategy for graph theory that minimizes errors.,10,59.33,16.83,0.7,0.53,Medium
Q3979,Physics,Evaluate,Assess whether nuclear fission holds true in the given scenario.,10,65.71,9.35,0.63,0.5,Medium
Q3980,Biology,Apply,Calculate the rate of enzyme activity given the experimental data.,10,27.81,12.08,0.27,0.6,Medium
Q3981,Physics,Analyze,Analyze how optics changes under different conditions.,7,89.07,4.89,0.94,0.21,Easy
Q3982,Computer Science,Apply,Demonstrate the use of machine learning in the given scenario.,10,78.83,5.7,0.88,0.14,Easy
Q3983,Computer Science,Evaluate,Justify the use of dynamic programming in large-scale systems.,9,73.07,7.82,0.83,0.31,Medium
Q3984,Physics,Understand,Explain relativity using everyday examples.,5,28.48,14.41,0.42,0.63,Medium
Q3985,Computer Science,Create,Design a system using machine learning to handle real-time data.,10,73.91,3.5,0.84,0.15,Medium
Q3986,Biology,Evaluate,Assess the impact of mutations on natural selection.,8,38.33,12.98,0.24,0.51,Hard
Q3987,Biology,Understand,Summarize the role of protein synthesis in cell function.,9,67.9,12.3,0.54,0.52,Easy
Q3988,Mathematics,Evaluate,Critique the use of trigonometry in the given scenario.,9,52.32,11.85,0.74,0.46,Medium
Q3989,Physics,Apply,Determine the value of electromagnetism using the data provided.,9,49.85,8.73,0.58,0.39,Medium
Q3990,Biology,Evaluate,Assess the impact of mutations on osmosis.,7,90.37,9.75,0.75,0.27,Medium
Q3991,Biology,Create,Develop a model to explain the mechanism of mitosis.,9,64.08,8.32,0.47,0.33,Medium
Q3992,Biology,Evaluate,Assess the impact of mutations on natural selection.,8,76.08,3.29,0.8,0.27,Medium
Q3993,Mathematics,Create,Design a mathematical model using differential equations to represent a real-world problem.,12,69.32,17.41,0.67,0.43,Medium
Q3994,Physics,Evaluate,Assess whether relativity holds true in the given scenario.,9,23.94,15.08,0.29,0.75,Hard
Q3995,Physics,Understand,Interpret the graph showing relativity over time.,7,78.84,8.42,0.91,0.16,Easy
Q3996,Physics,Analyze,Differentiate between wave motion and momentum.,6,90.23,9.02,0.89,0.12,Easy
Q3997,Biology,Understand,Illustrate the cycle of DNA replication with a diagram.,9,79.5,3.42,0.85,0.34,Easy
Q3998,Physics,Analyze,Compare wave motion in elastic and inelastic collisions.,8,60.13,9.45,0.73,0.38,Medium
Q3999,Computer Science,Apply,Use TCP/IP protocol to optimize the following algorithm.,8,80.4,3.46,0.88,0.11,Easy
Q4000,Mathematics,Analyze,Differentiate between matrices and probability with examples.,7,85.38,6.66,0.76,0.35,Easy
Q4001,Biology,Evaluate,Evaluate the significance of osmosis in evolution.,7,68.32,8.5,0.61,0.4,Medium
Q4002,Computer Science,Remember,What does binary trees stand for?,6,81.06,4.58,0.99,0.11,Easy
Q4003,Computer Science,Evaluate,Evaluate the trade-offs between recursion and TCP/IP protocol.,8,85.48,7.22,0.98,0.11,Easy
Q4004,Computer Science,Analyze,Differentiate between dynamic programming and operating system scheduling.,8,32.06,17.59,0.44,0.78,Medium
Q4005,Physics,Create,Develop a theoretical model incorporating electromagnetism.,6,58.09,13.34,0.61,0.34,Medium
Q4006,Computer Science,Evaluate,Assess the security implications of using machine learning.,8,78.25,4.22,0.89,0.31,Medium
Q4007,Computer Science,Apply,Use TCP/IP protocol to optimize the following algorithm.,8,72.8,7.15,0.95,0.16,Easy
Q4008,Physics,Understand,Interpret the graph showing relativity over time.,7,57.65,12.02,0.54,0.45,Easy
Q4009,Mathematics,Analyze,Differentiate between statistics and integration with examples.,7,40.78,16.89,0.36,0.54,Medium
Q4010,Biology,Evaluate,Judge the effectiveness of photosynthesis as a defense mechanism.,9,26.05,20.11,0.23,0.67,Hard
Q4011,Physics,Evaluate,Critique the assumptions made in the momentum model.,8,82.32,3.27,0.96,0.22,Medium
Q4012,Computer Science,Remember,List the types of operating system scheduling.,7,48.62,14.3,0.47,0.36,Easy
Q4013,Mathematics,Apply,Apply trigonometry to determine the missing variable.,7,75.91,8.64,0.84,0.21,Easy
Q4014,Mathematics,Remember,Define matrices in mathematics.,4,80.14,3.63,0.9,0.15,Easy
Q4015,Mathematics,Analyze,Compare and contrast differential equations with trigonometry.,7,74.35,9.8,0.76,0.24,Easy
Q4016,Computer Science,Analyze,Compare neural networks and binary trees in terms of performance.,10,68.42,10.31,0.56,0.37,Medium
Q4017,Mathematics,Remember,List the properties of trigonometry.,5,62.28,9.21,0.69,0.37,Easy
Q4018,Physics,Remember,State Newton's law related to momentum.,6,60.92,11.62,0.62,0.45,Easy
Q4019,Biology,Analyze,Differentiate between immune response and cellular respiration.,7,25.82,14.3,0.38,0.8,Medium
Q4020,Mathematics,Analyze,Compare and contrast probability with statistics.,6,25.97,12.19,0.14,0.68,Hard
Q4021,Biology,Analyze,Differentiate between immune response and DNA replication.,7,21.36,14.97,0.36,0.46,Hard
Q4022,Computer Science,Apply,Use TCP/IP protocol to optimize the following algorithm.,8,31.01,13.45,0.33,0.65,Medium
Q4023,Biology,Apply,Calculate the rate of cellular respiration given the experimental data.,10,73.21,6.47,0.91,0.33,Easy
Q4024,Biology,Remember,What is osmosis?,3,56.61,17.13,0.64,0.53,Easy
Q4025,Computer Science,Remember,Define the term dynamic programming.,5,47.65,16.66,0.48,0.32,Easy
Q4026,Computer Science,Apply,Demonstrate the use of neural networks in the given scenario.,10,32.52,21.93,0.41,0.79,Medium
Q4027,Computer Science,Analyze,Analyze the time complexity of database normalization.,7,88.53,9.27,0.96,0.17,Easy
Q4028,Physics,Apply,Calculate the optics of an object with mass 5kg and velocity 10m/s.,12,27.94,10.64,0.22,0.71,Medium
Q4029,Mathematics,Remember,List the properties of calculus.,5,64.88,17.33,0.57,0.53,Easy
Q4030,Mathematics,Understand,Describe how linear algebra works in real-world scenarios.,8,45.92,9.04,0.49,0.35,Medium
Q4031,Mathematics,Analyze,Differentiate between trigonometry and calculus with examples.,7,93.44,9.75,0.86,0.2,Easy
Q4032,Mathematics,Remember,State the probability theorem.,4,61.64,16.52,0.73,0.53,Easy
Q4033,Mathematics,Create,Design a mathematical model using differential equations to represent a real-world problem.,12,30.94,19.84,0.15,0.55,Hard
Q4034,Computer Science,Apply,Write a program to implement dynamic programming.,7,24.31,21.52,0.35,0.74,Medium
Q4035,Physics,Apply,Apply the formula for optics to solve the given problem.,10,68.57,9.44,0.72,0.43,Easy
Q4036,Biology,Apply,Apply your knowledge of natural selection to explain the given case study.,12,71.83,3.55,0.97,0.17,Easy
Q4037,Physics,Remember,List the factors affecting gravitational force.,6,53.45,9.49,0.53,0.47,Easy
Q4038,Mathematics,Analyze,Differentiate between trigonometry and differential equations with examples.,8,76.43,4.32,0.97,0.12,Easy
Q4039,Mathematics,Analyze,Analyze the relationship between integration and linear algebra.,8,78.09,8.75,0.77,0.27,Easy
Q4040,Computer Science,Create,Design a system using TCP/IP protocol to handle real-time data.,10,61.02,15.43,0.69,0.46,Medium
Q4041,Mathematics,Create,Develop a solution strategy for calculus that minimizes errors.,9,55.71,16.36,0.67,0.41,Medium
Q4042,Computer Science,Remember,List the types of TCP/IP protocol.,6,87.39,5.26,0.96,0.17,Easy
Q4043,Biology,Understand,Illustrate the cycle of natural selection with a diagram.,9,87.55,5.6,0.91,0.26,Easy
Q4044,Biology,Remember,Define mitosis in biological terms.,5,80.66,8.4,0.79,0.34,Easy
Q4045,Physics,Remember,State Newton's law related to relativity.,6,70.1,6.94,0.86,0.12,Easy
Q4046,Biology,Evaluate,Evaluate the significance of cellular respiration in evolution.,8,56.19,14.44,0.67,0.39,Medium
Q4047,Mathematics,Evaluate,Justify why differential equations is preferred over integration.,8,68.04,9.53,0.47,0.37,Medium
Q4048,Mathematics,Analyze,Compare and contrast differential equations with linear algebra.,8,38.53,17.28,0.32,0.51,Medium
Q4049,Mathematics,Evaluate,Critique the use of probability in the given scenario.,9,51.74,16.12,0.67,0.53,Medium
Q4050,Mathematics,Evaluate,Justify why linear algebra is preferred over probability.,8,44.92,18.94,0.12,0.63,Hard
Q4051,Computer Science,Create,Develop an algorithm based on machine learning that improves efficiency.,10,31.51,16.99,0.31,0.76,Hard
Q4052,Computer Science,Remember,Define the term encryption.,4,79.75,6.49,0.83,0.31,Easy
Q4053,Biology,Remember,Define enzyme activity in biological terms.,6,62.23,14.99,0.74,0.37,Easy
Q4054,Biology,Create,Formulate a research question about enzyme activity in the context of disease.,12,24.72,12.42,0.33,0.53,Hard
Q4055,Mathematics,Create,Construct a proof for integration.,5,38.06,10.14,0.19,0.46,Hard
Q4056,Mathematics,Apply,"Solve the following problem using matrices: if x = 5, find y.",12,56.38,14.18,0.63,0.34,Medium
Q4057,Physics,Understand,Summarize the principles governing gravitational force.,6,42.6,19.68,0.1,0.72,Medium
Q4058,Biology,Analyze,Compare genetic mutation in prokaryotes and eukaryotes.,7,69.19,14.07,0.57,0.47,Medium
Q4059,Biology,Evaluate,Evaluate the significance of DNA replication in evolution.,8,48.72,13.21,0.64,0.41,Medium
Q4060,Mathematics,Understand,Explain the concept of linear algebra with an example.,9,47.55,16.88,0.47,0.46,Medium
Q4061,Biology,Apply,Demonstrate how protein synthesis affects the survival of the organism.,10,93.64,7.73,0.79,0.17,Easy
Q4062,Mathematics,Understand,Explain the concept of graph theory with an example.,9,90.57,3.88,0.8,0.14,Easy
Q4063,Computer Science,Evaluate,Justify the use of neural networks in large-scale systems.,9,42.16,20.32,0.27,0.78,Hard
Q4064,Computer Science,Analyze,Compare TCP/IP protocol and machine learning in terms of performance.,10,83.17,5.47,0.96,0.34,Easy
Q4065,Mathematics,Understand,Interpret the graph representing calculus.,5,22.79,19.79,0.36,0.52,Medium
Q4066,Mathematics,Evaluate,Evaluate the efficiency of integration in solving complex problems.,9,34.9,15.36,0.23,0.67,Hard
Q4067,Physics,Apply,Apply the formula for nuclear fission to solve the given problem.,11,33.61,19.44,0.38,0.64,Medium
Q4068,Biology,Create,Construct a phylogenetic tree based on immune response.,8,33.59,11.15,0.38,0.61,Hard
Q4069,Biology,Understand,Explain the process of photosynthesis in living organisms.,8,54.16,11.09,0.58,0.42,Easy
Q4070,Computer Science,Apply,Write a program to implement binary trees.,7,68.58,13.19,0.71,0.53,Easy
Q4071,Mathematics,Create,Design a mathematical model using probability to represent a real-world problem.,11,49.48,14.52,0.52,0.55,Hard
Q4072,Physics,Analyze,Break down the forces acting in a system involving optics.,10,69.38,15.64,0.74,0.43,Medium
Q4073,Mathematics,Apply,Calculate the value of calculus given the following data.,9,52.37,11.21,0.7,0.54,Medium
Q4074,Mathematics,Analyze,Differentiate between statistics and trigonometry with examples.,7,62.03,12.93,0.64,0.47,Medium
Q4075,Mathematics,Remember,State the matrices theorem.,4,69.67,15.19,0.66,0.55,Easy
Q4076,Mathematics,Evaluate,Justify why integration is preferred over graph theory.,8,75.14,3.8,0.8,0.27,Medium
Q4077,Mathematics,Analyze,Differentiate between linear algebra and number theory with examples.,9,93.7,6.4,0.9,0.15,Easy
Q4078,Computer Science,Remember,Define the term binary trees.,5,27.17,21.03,0.28,0.47,Medium
Q4079,Computer Science,Apply,Demonstrate the use of neural networks in the given scenario.,10,62.32,9.27,0.58,0.37,Medium
Q4080,Physics,Apply,Calculate the gravitational force of an object with mass 5kg and velocity 10m/s.,13,80.61,5.3,0.78,0.27,Easy
Q4081,Biology,Analyze,Analyze the relationship between immune response and cellular respiration.,9,47.99,8.24,0.59,0.34,Medium
Q4082,Biology,Evaluate,Judge the effectiveness of photosynthesis as a defense mechanism.,9,44.24,10.27,0.18,0.69,Hard
Q4083,Mathematics,Evaluate,Assess the limitations of trigonometry in real-world applications.,8,65.06,17.67,0.57,0.51,Medium
Q4084,Biology,Apply,Apply your knowledge of genetic mutation to explain the given case study.,12,31.17,21.96,0.34,0.64,Medium
Q4085,Physics,Understand,Explain gravitational force using everyday examples.,6,77.86,3.39,0.98,0.19,Easy
Q4086,Biology,Analyze,Break down the molecular mechanisms of genetic mutation.,8,27.02,16.77,0.16,0.49,Hard
Q4087,Computer Science,Remember,List the types of sorting algorithms.,6,20.6,12.69,0.19,0.67,Medium
Q4088,Mathematics,Analyze,Differentiate between matrices and trigonometry with examples.,7,45.48,8.72,0.53,0.5,Medium
Q4089,Physics,Remember,List the factors affecting quantum mechanics.,6,20.34,20.67,0.11,0.55,Medium
Q4090,Physics,Evaluate,Critique the assumptions made in the gravitational force model.,9,58.21,10.11,0.67,0.43,Medium
Q4091,Physics,Analyze,Differentiate between wave motion and electromagnetism.,6,94.84,6.86,0.9,0.31,Easy
Q4092,Physics,Analyze,Break down the forces acting in a system involving thermodynamics.,10,47.08,9.92,0.46,0.42,Medium
Q4093,Mathematics,Understand,Summarize the key principles of calculus.,6,47.67,16.14,0.56,0.47,Medium
Q4094,Mathematics,Apply,Apply linear algebra to determine the missing variable.,8,60.04,11.08,0.48,0.54,Medium
Q4095,Physics,Remember,List the factors affecting optics.,5,62.09,12.81,0.69,0.51,Easy
Q4096,Mathematics,Create,Develop a solution strategy for differential equations that minimizes errors.,10,25.72,19.88,0.35,0.49,Hard
Q4097,Mathematics,Understand,Summarize the key principles of differential equations.,7,69.09,9.0,0.6,0.53,Easy
Q4098,Physics,Apply,Use the concept of thermodynamics to explain the given experiment.,10,36.09,17.28,0.37,0.54,Medium
Q4099,Computer Science,Understand,Illustrate the concept of machine learning using a diagram.,9,64.32,16.67,0.71,0.5,Easy
Q4100,Physics,Analyze,Break down the forces acting in a system involving electric circuits.,11,34.89,18.52,0.37,0.61,Medium
Q4101,Physics,Apply,Use the concept of wave motion to explain the given experiment.,11,42.74,16.9,0.21,0.76,Medium
Q4102,Physics,Analyze,Differentiate between relativity and momentum.,5,94.26,7.06,0.9,0.17,Easy
Q4103,Biology,Understand,Illustrate the cycle of natural selection with a diagram.,9,61.65,14.74,0.59,0.5,Easy
Q4104,Mathematics,Apply,Apply linear algebra to determine the missing variable.,8,91.41,5.45,0.89,0.31,Easy
Q4105,Computer Science,Evaluate,Critique the design of sorting algorithms in the given system.,10,52.67,12.35,0.59,0.41,Medium
Q4106,Mathematics,Evaluate,Justify why linear algebra is preferred over graph theory.,9,79.12,5.66,0.81,0.19,Medium
Q4107,Biology,Evaluate,Critique the experimental design used to study cellular respiration.,9,68.21,8.15,0.69,0.41,Medium
Q4108,Mathematics,Create,Develop a solution strategy for integration that minimizes errors.,9,61.32,15.34,0.51,0.52,Medium
Q4109,Physics,Apply,Calculate the gravitational force of an object with mass 5kg and velocity 10m/s.,13,31.94,15.78,0.39,0.49,Medium
Q4110,Biology,Remember,List the stages of enzyme activity.,6,79.13,9.66,0.75,0.12,Easy
Q4111,Physics,Remember,What is the SI unit of electromagnetism?,7,64.61,14.92,0.71,0.38,Easy
Q4112,Biology,Create,Construct a phylogenetic tree based on cellular respiration.,8,76.46,9.35,0.97,0.24,Medium
Q4113,Biology,Analyze,Differentiate between DNA replication and photosynthesis.,6,43.49,18.08,0.17,0.74,Medium
Q4114,Physics,Remember,Define nuclear fission in the context of physics.,8,42.46,21.42,0.37,0.69,Medium
Q4115,Computer Science,Evaluate,Critique the design of sorting algorithms in the given system.,10,62.39,9.43,0.57,0.38,Medium
Q4116,Physics,Understand,Interpret the graph showing electric circuits over time.,8,36.13,15.12,0.24,0.53,Medium
Q4117,Mathematics,Create,Formulate a new equation using the principles of statistics.,9,81.62,7.77,0.82,0.24,Medium
Q4118,Mathematics,Remember,List the properties of integration.,5,35.08,14.78,0.14,0.57,Medium
Q4119,Physics,Understand,Explain wave motion using everyday examples.,6,72.65,9.96,0.89,0.12,Easy
Q4120,Biology,Evaluate,Assess the impact of mutations on cellular respiration.,8,66.36,14.87,0.69,0.39,Medium
Q4121,Mathematics,Analyze,Analyze the relationship between statistics and calculus.,7,53.72,14.13,0.61,0.42,Medium
Q4122,Biology,Create,Design an experiment to test the effect of temperature on DNA replication.,12,83.1,4.38,0.93,0.29,Medium
Q4123,Biology,Apply,Demonstrate how immune response affects the survival of the organism.,10,90.78,6.03,0.96,0.14,Easy
Q4124,Mathematics,Evaluate,Evaluate the efficiency of linear algebra in solving complex problems.,10,87.42,7.71,0.9,0.33,Easy
Q4125,Physics,Analyze,Differentiate between electric circuits and thermodynamics.,6,20.99,10.82,0.14,0.5,Hard
Q4126,Physics,Analyze,Compare optics in elastic and inelastic collisions.,7,34.75,11.15,0.13,0.5,Hard
Q4127,Physics,Evaluate,Assess whether electric circuits holds true in the given scenario.,10,44.6,18.16,0.33,0.54,Hard
Q4128,Computer Science,Evaluate,Justify the use of machine learning in large-scale systems.,9,63.03,11.57,0.71,0.49,Medium
Q4129,Physics,Analyze,Break down the forces acting in a system involving momentum.,10,87.99,4.69,0.9,0.26,Easy
Q4130,Mathematics,Create,Develop a solution strategy for number theory that minimizes errors.,10,81.21,8.53,0.91,0.12,Medium
Q4131,Mathematics,Analyze,Differentiate between number theory and probability with examples.,8,71.16,8.89,0.83,0.14,Easy
Q4132,Physics,Create,Formulate a hypothesis about relativity based on the data.,9,61.89,15.03,0.52,0.42,Medium
Q4133,Biology,Evaluate,Evaluate the significance of DNA replication in evolution.,8,38.35,20.56,0.28,0.74,Hard
Q4134,Biology,Analyze,Analyze the relationship between photosynthesis and cellular respiration.,8,82.19,4.8,0.94,0.2,Easy
Q4135,Mathematics,Analyze,Differentiate between matrices and probability with examples.,7,66.8,15.84,0.63,0.52,Medium
Q4136,Physics,Remember,What is the SI unit of momentum?,7,32.15,10.89,0.28,0.5,Medium
Q4137,Mathematics,Create,Formulate a new equation using the principles of statistics.,9,31.5,11.23,0.12,0.66,Hard
Q4138,Biology,Remember,Name the organelles involved in natural selection.,7,24.5,14.37,0.29,0.48,Medium
Q4139,Physics,Remember,State Newton's law related to gravitational force.,7,75.24,4.46,0.77,0.12,Easy
Q4140,Physics,Apply,Calculate the momentum of an object with mass 5kg and velocity 10m/s.,12,66.08,17.54,0.48,0.35,Medium
Q4141,Biology,Apply,Calculate the rate of natural selection given the experimental data.,10,47.31,17.51,0.56,0.54,Medium
Q4142,Computer Science,Remember,Define the term neural networks.,5,37.5,21.97,0.44,0.52,Medium
Q4143,Mathematics,Remember,Define differential equations in mathematics.,5,41.87,11.17,0.41,0.55,Medium
Q4144,Mathematics,Evaluate,Assess the limitations of calculus in real-world applications.,8,48.95,16.65,0.73,0.47,Medium
Q4145,Biology,Remember,Name the organelles involved in photosynthesis.,6,79.53,4.89,0.92,0.21,Easy
Q4146,Physics,Remember,List the factors affecting thermodynamics.,5,26.77,14.1,0.35,0.74,Medium
Q4147,Mathematics,Remember,What is the formula for linear algebra?,7,28.47,10.99,0.21,0.53,Medium
Q4148,Biology,Remember,List the stages of genetic mutation.,6,23.78,14.87,0.37,0.73,Medium
Q4149,Biology,Analyze,Compare cellular respiration in prokaryotes and eukaryotes.,7,78.18,9.39,0.95,0.18,Easy
Q4150,Physics,Remember,List the factors affecting electric circuits.,6,24.23,13.72,0.4,0.71,Medium
Q4151,Biology,Remember,Define genetic mutation in biological terms.,6,39.0,14.05,0.19,0.49,Medium
Q4152,Mathematics,Remember,What is the formula for linear algebra?,7,58.95,15.89,0.56,0.39,Easy
Q4153,Physics,Apply,Use the concept of momentum to explain the given experiment.,10,21.05,12.04,0.27,0.64,Medium
Q4154,Physics,Create,Construct a simulation to demonstrate electromagnetism.,6,92.56,9.34,0.82,0.13,Medium
Q4155,Biology,Create,Design an experiment to test the effect of temperature on natural selection.,12,83.47,7.9,0.95,0.12,Medium
Q4156,Biology,Understand,Describe how enzyme activity contributes to homeostasis.,7,51.3,14.17,0.75,0.31,Easy
Q4157,Biology,Create,Formulate a research question about osmosis in the context of disease.,11,57.62,10.95,0.71,0.53,Medium
Q4158,Mathematics,Analyze,Break down the steps involved in solving number theory.,9,46.1,13.35,0.72,0.35,Medium
Q4159,Computer Science,Create,Design a system using sorting algorithms to handle real-time data.,10,34.9,17.81,0.26,0.59,Hard
Q4160,Physics,Remember,State Newton's law related to thermodynamics.,6,39.59,13.87,0.11,0.62,Medium
Q4161,Physics,Remember,What is the SI unit of electromagnetism?,7,33.42,10.07,0.41,0.77,Medium
Q4162,Physics,Apply,Calculate the wave motion of an object with mass 5kg and velocity 10m/s.,13,55.92,13.29,0.58,0.42,Medium
Q4163,Biology,Understand,Describe how enzyme activity contributes to homeostasis.,7,60.1,9.59,0.7,0.44,Easy
Q4164,Physics,Understand,Describe the relationship between gravitational force and energy.,8,85.88,8.57,0.78,0.14,Easy
Q4165,Computer Science,Understand,Explain how machine learning works with an example.,8,65.72,17.12,0.53,0.47,Easy
Q4166,Physics,Evaluate,Critique the assumptions made in the electric circuits model.,9,51.69,10.87,0.59,0.52,Medium
Q4167,Mathematics,Remember,Define differential equations in mathematics.,5,89.36,5.4,0.85,0.13,Easy
Q4168,Mathematics,Evaluate,Critique the use of probability in the given scenario.,9,48.72,12.91,0.65,0.5,Medium
Q4169,Biology,Create,Design an experiment to test the effect of temperature on cellular respiration.,12,71.56,9.31,0.97,0.25,Medium
Q4170,Biology,Analyze,Break down the molecular mechanisms of cellular respiration.,8,38.83,15.23,0.24,0.79,Medium
Q4171,Biology,Create,Formulate a research question about protein synthesis in the context of disease.,12,91.4,3.38,0.94,0.16,Medium
Q4172,Computer Science,Understand,Explain how database normalization works with an example.,8,35.47,12.13,0.41,0.58,Medium
Q4173,Mathematics,Evaluate,Critique the use of linear algebra in the given scenario.,10,65.02,12.63,0.51,0.54,Medium
Q4174,Computer Science,Create,Create a flowchart illustrating the process of database normalization.,9,42.3,19.06,0.44,0.67,Hard
Q4175,Physics,Evaluate,Assess whether momentum holds true in the given scenario.,9,94.0,9.74,0.95,0.29,Easy
Q4176,Physics,Analyze,Differentiate between momentum and nuclear fission.,6,87.54,5.19,0.91,0.2,Easy
Q4177,Physics,Evaluate,Judge the accuracy of the experiment measuring nuclear fission.,9,37.08,15.64,0.32,0.45,Hard
Q4178,Physics,Create,Design an experiment to measure electromagnetism accurately.,7,51.06,10.63,0.45,0.42,Hard
Q4179,Biology,Apply,Apply your knowledge of mitosis to explain the given case study.,11,69.94,8.04,0.73,0.31,Easy
Q4180,Physics,Analyze,Break down the forces acting in a system involving electromagnetism.,10,57.05,17.03,0.6,0.3,Medium
Q4181,Physics,Remember,What is the SI unit of gravitational force?,8,57.76,13.01,0.69,0.41,Easy
Q4182,Computer Science,Remember,What is binary trees in computer science?,7,48.5,13.36,0.47,0.51,Easy
Q4183,Physics,Understand,Summarize the principles governing momentum.,5,72.02,8.61,0.88,0.22,Easy
Q4184,Mathematics,Understand,Explain the concept of graph theory with an example.,9,35.56,18.3,0.41,0.67,Medium
Q4185,Physics,Create,Design an experiment to measure nuclear fission accurately.,8,77.24,3.89,0.98,0.33,Medium
Q4186,Mathematics,Apply,Calculate the value of statistics given the following data.,9,29.34,13.97,0.3,0.77,Medium
Q4187,Biology,Analyze,Differentiate between genetic mutation and natural selection.,7,23.63,19.29,0.3,0.76,Hard
Q4188,Biology,Evaluate,Evaluate the significance of osmosis in evolution.,7,84.18,4.06,0.84,0.31,Medium
Q4189,Physics,Analyze,Analyze how optics changes under different conditions.,7,90.28,6.07,0.79,0.31,Easy
Q4190,Computer Science,Evaluate,Evaluate the trade-offs between operating system scheduling and neural networks.,10,35.39,11.64,0.21,0.8,Hard
Q4191,Biology,Analyze,Compare mitosis in prokaryotes and eukaryotes.,6,66.74,12.31,0.51,0.41,Medium
Q4192,Physics,Create,Design an experiment to measure gravitational force accurately.,8,44.37,13.36,0.43,0.64,Hard
Q4193,Physics,Remember,List the factors affecting electric circuits.,6,29.54,12.79,0.33,0.79,Medium
Q4194,Biology,Analyze,Differentiate between DNA replication and enzyme activity.,7,26.0,18.09,0.12,0.52,Hard
Q4195,Computer Science,Understand,Explain how machine learning works with an example.,8,58.13,15.59,0.48,0.44,Easy
Q4196,Mathematics,Evaluate,Assess the limitations of statistics in real-world applications.,8,36.47,15.95,0.19,0.46,Hard
Q4197,Biology,Analyze,Analyze the relationship between DNA replication and cellular respiration.,9,52.58,8.4,0.6,0.34,Medium
Q4198,Physics,Analyze,Break down the forces acting in a system involving optics.,10,35.15,21.43,0.17,0.63,Hard
Q4199,Computer Science,Evaluate,Evaluate the trade-offs between operating system scheduling and TCP/IP protocol.,10,83.87,6.68,0.98,0.15,Easy
Q4200,Mathematics,Remember,List the properties of matrices.,5,69.83,13.42,0.54,0.42,Easy
Q4201,Biology,Understand,Illustrate the cycle of natural selection with a diagram.,9,84.09,7.62,0.96,0.26,Easy
Q4202,Biology,Evaluate,Critique the experimental design used to study photosynthesis.,8,37.14,16.07,0.33,0.76,Hard
Q4203,Biology,Analyze,Break down the molecular mechanisms of immune response.,8,32.6,20.9,0.12,0.77,Hard
